,name,price,size,cpu_com,cpu_gen,cpu_type,cpu,core,OS,pixel,display,ram_type,ram,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15
0,LG전자 2021 울트라PC 15U50P-GR56K,"956,100",39.6cm(15.6인치),인텔,코어i5-11세대,타이거레이크,i5-1135G7 (2.4GHz),쿼드코어,운영체제(OS),윈도우10,1920x1080(FHD),IPS,DDR4,8GB,M.2(NVMe),256GB,기가비트 유선랜,802.11ax(Wi-Fi 6),HDMI,웹캠(HD),USB 3.1 Type-C,USB 3.0,ㅗ형 방향키,숫자 키패드(3열),배터리,51Wh,두께,19.9mm
1,HP 파빌리온 게이밍 15-ec1059AX,"1,399,000",39.62cm(15.6인치),AMD,라이젠7-3세대,르누아르,4800H (2.9GHz),옥타코어,운영체제(OS),미포함(프리도스),1920x1080(FHD),NTSC,72%,300nit,144Hz,IPS,광시야각,눈부심방지,슬림형 베젤,DDR4,16GB,M.2(NVMe),512GB,GTX1660 Ti,MAX-Q,VRAM:6GB,기가비트 유선랜,802.11ax(Wi-Fi 6)
2,LG전자 2020 울트라PC 13UD50N-GX30K,"603,530",33.7cm(13인치),인텔,코어i3-10세대,코멧레이크,i3-10110U (2.1GHz),듀얼코어,운영체제(OS),미포함(프리도스),1920x1080(FHD),IPS,광시야각,DDR4,8GB,M.2(NVMe),256GB,802.11ax(Wi-Fi 6),HDMI,웹캠(HD),USB 3.1,ㅡ형 방향키,배터리,51Wh,두께,17.9mm,무게,1.3.kg
3,한성컴퓨터 TFG7577XG,"2,149,000",43.94cm(17.3인치),AMD,라이젠7-4세대,세잔,5800H (3.2GHz),옥타코어,운영체제(OS),미포함(프리도스),2560x1440(QHD),NTSC,72%,sRGB,100%,300nit,165Hz,IPS,광시야각,눈부심방지,슬림형 베젤,DDR4,16GB,M.2(NVMe),500GB,VRAM:8GB,기가비트 유선랜,802.11ax(Wi-Fi 6)
4,한성컴퓨터 TFX5450UC,"739,000",39.62cm(15.6인치),AMD,라이젠5-3세대,르누아르,4500U (2.3GHz),헥사코어,운영체제(OS),미포함(프리도스),1920x1080(FHD),NTSC,72%,sRGB,100%,260nit,광시야각,눈부심방지,슬림형 베젤,DDR4,16GB,M.2(NVMe),500GB,기가비트 유선랜,802.11ax(Wi-Fi 6),HDMI,웹캠(HD),USB Type-C
5,APPLE 2020 맥북에어 MGN63KH/A,"1,157,480",33.78cm(13.3인치),옥타코어,운영체제(OS),2560x1600(WQXGA),DCI-P3,지원,400nit,IPS,트루톤,8GB,SSD,256GB,802.11ax(Wi-Fi 6),웹캠(HD),썬더볼트3,2개,USB 3.1 Type-C,지문 인식,USB-PD,ㅗ형 방향키,배터리,49.9Wh,두께,16.1mm,무게,1.29kg
6,ASUS TUF Gaming A15 FA506QM-R5725,"1,260,000",39.62cm(15.6인치),AMD,라이젠7-4세대,세잔,5800H (3.2GHz),옥타코어,운영체제(OS),미포함(프리도스),1920x1080(FHD),sRGB,62.5%,250nit,144Hz,눈부심방지,DDR4,8GB,M.2(NVMe),512GB,VRAM:6GB,기가비트 유선랜,802.11ax(Wi-Fi 6),HDMI 2.0,웹캠(HD),USB 3.1 Type-C,USB 3.0,RGB 라이트
7,LG전자 2021 그램16 16ZD90P-GX50K WIN10,"1,521,860",40.6cm(16인치),인텔,코어i5-11세대,타이거레이크,i5-1135G7 (2.4GHz),쿼드코어,운영체제(OS),윈도우10,2560x1600(WQXGA),DCI-P3,99%,IPS,광시야각,슬림형 베젤,8GB,M.2(NVMe),256GB,802.11ax(Wi-Fi 6),HDMI,웹캠(HD),USB 3.1,UFS,키보드 라이트,MIL-STD,USB-PD,ㅗ형 방향키
8,LG전자 2020 울트라PC 15UD50N-GX30K,"679,610",39.6cm(15.6인치),인텔,코어i3-10세대,코멧레이크,i3-10110U (2.1GHz),듀얼코어,운영체제(OS),미포함(프리도스),1920x1080(FHD),IPS,광시야각,슬림형 베젤,DDR4,8GB,SSD,128GB,기가비트 유선랜,802.11ax(Wi-Fi 6),HDMI,웹캠(HD),USB 3.1 Type-C,USB 3.0,ㅗ형 방향키,숫자 키패드(3열),배터리,35Wh
9,삼성전자 노트북 NT350XCR-AD5WA,"759,000",39.62cm(15.6인치),인텔,코어i5-10세대,코멧레이크,i5-10210U (1.6GHz),쿼드코어,운영체제(OS),미포함(프리도스),1920x1080(FHD),눈부심방지,슬림형 베젤,DDR4,8GB,M.2(NVMe),256GB,기가비트 유선랜,802.11ac(Wi-Fi 5),HDMI,웹캠,USB Type-C,USB 3.0,USB 2.0,TPM,ㅗ형 방향키,숫자 키패드(3열),배터리
10,레노버 V15 G2 82KD000VKR,"649,000",39.62cm(15.6인치),AMD,라이젠7-4세대,루시엔,5700U (1.8GHz),옥타코어,운영체제(OS),미포함(프리도스),1920x1080(FHD),NTSC,45%,250nit,TN,눈부심방지,슬림형 베젤,DDR4,8GB,M.2(NVMe),256GB,기가비트 유선랜,802.11ac(Wi-Fi 5),HDMI,웹캠,USB Type-C,USB 3.0,USB 2.0
11,ACER 아스파이어5 A515-45 테라4,"629,000",39.62cm(15.6인치),AMD,라이젠5-4세대,루시엔,5500U (2.1GHz),헥사코어,운영체제(OS),리눅스,1920x1080(FHD),IPS,광시야각,DDR4,8GB,M.2(NVMe),256GB,기가비트 유선랜,802.11ax(Wi-Fi 6),HDMI 2.0,웹캠(HD),USB Type-C,USB 3.0,USB 2.0,키보드 라이트,ㅡ형 방향키,숫자 키패드(3열),두께
12,레노버 요가 Slim7-14ARE R7 Max,"1,219,000",35.56cm(14인치),AMD,라이젠7-3세대,르누아르,4800U (1.8GHz),옥타코어,운영체제(OS),윈도우10,1920x1080(FHD),NTSC,72%,sRGB,100%,300nit,IPS,광시야각,슬림형 베젤,16GB,M.2(NVMe),512GB,802.11ax(Wi-Fi 6),HDMI 2.0,웹캠,USB 3.1 Type-C,USB Type-C,USB 3.0
13,한성컴퓨터 TFG5577XG,"2,049,000",39.62cm(15.6인치),AMD,라이젠7-4세대,세잔,5800H (3.2GHz),옥타코어,운영체제(OS),미포함(프리도스),2560x1440(QHD),NTSC,72%,sRGB,100%,300nit,165Hz,IPS,광시야각,눈부심방지,슬림형 베젤,DDR4,16GB,M.2(NVMe),500GB,VRAM:8GB,기가비트 유선랜,802.11ax(Wi-Fi 6)
14,레노버 V15 G2 82KD000UKR,"680,800",39.62cm(15.6인치),AMD,라이젠5-4세대,루시엔,5500U (2.1GHz),헥사코어,운영체제(OS),미포함(프리도스),1920x1080(FHD),NTSC,45%,250nit,TN,눈부심방지,슬림형 베젤,DDR4,4GB,M.2(NVMe),256GB,기가비트 유선랜,802.11ac(Wi-Fi 5),HDMI,웹캠,USB Type-C,USB 3.0,USB 2.0
15,LG전자 2021 울트라PC 15UD50P-GX50K,"848,440",39.6cm(15.6인치),인텔,코어i5-11세대,타이거레이크,i5-1135G7 (2.4GHz),쿼드코어,운영체제(OS),미포함(프리도스),1920x1080(FHD),IPS,DDR4,8GB,M.2(NVMe),256GB,기가비트 유선랜,802.11ax(Wi-Fi 6),HDMI,웹캠(HD),USB 3.1 Type-C,USB 3.0,ㅗ형 방향키,숫자 키패드(3열),배터리,51Wh,두께,19.9mm
16,레노버 LEGION 5 Pro 16ACH R7 STORM,"1,699,000",40.6cm(16인치),AMD,라이젠7-4세대,세잔,5800H (3.2GHz),옥타코어,운영체제(OS),미포함(프리도스),2560x1600(WQXGA),NTSC,72%,sRGB,100%,500nit,165Hz,IPS,광시야각,눈부심방지,슬림형 베젤,DDR4,16GB,M.2(NVMe),512GB,VRAM:6GB,기가비트 유선랜,802.11ax(Wi-Fi 6)
17,HP 15s-fq1008tu,"1,287,080",39.62cm(15.6인치),인텔,코어i5-10세대,아이스레이크,쿼드코어,운영체제(OS),윈도우10,1920x1080(FHD),IPS,광시야각,눈부심방지,슬림형 베젤,DDR4,4GB,M.2(NVMe),256GB,802.11ac(Wi-Fi 5),HDMI,웹캠,USB Type-C,USB 3.0,고속충전,ㅡ형 방향키,숫자 키패드(4열),배터리,41Wh
18,레노버 아이디어패드 Slim3-14ARE R5,"499,000",35.6cm(14인치),AMD,라이젠5-3세대,르누아르,4500U (2.3GHz),헥사코어,운영체제(OS),미포함(프리도스),1920x1080(FHD),IPS,광시야각,눈부심방지,슬림형 베젤,DDR4,4GB,M.2(NVMe),256GB,802.11ac(Wi-Fi 5),HDMI,웹캠,USB 3.0,USB 2.0,ㅡ형 방향키,배터리,35Wh,두께
19,MSI 모던시리즈 모던14 B4MW-R5 오닉스 블랙,"679,190",35.56cm(14인치),AMD,라이젠5-3세대,르누아르,4500U (2.3GHz),헥사코어,운영체제(OS),미포함(프리도스),1920x1080(FHD),300nit,광시야각,눈부심방지,슬림형 베젤,DDR4,8GB,M.2(NVMe),512GB,802.11ac(Wi-Fi 5),HDMI,웹캠(HD),USB Type-C,USB 2.0,키보드 라이트,MIL-STD,ㅗ형 방향키,배터리
20,LG전자 2021 그램16 16ZD90P-GX30K,"1,243,090",40.6cm(16인치),인텔,코어i3-11세대,타이거레이크,i3-1115G4 (3.0GHz),듀얼코어,운영체제(OS),미포함(프리도스),2560x1600(WQXGA),DCI-P3,99%,IPS,광시야각,슬림형 베젤,8GB,M.2(NVMe),256GB,802.11ax(Wi-Fi 6),HDMI,웹캠(HD),USB 3.1,UFS,키보드 라이트,MIL-STD,USB-PD,ㅗ형 방향키
21,삼성전자 노트북 NT350XCR-A58M,"629,100",39.6cm(15.6인치),인텔,코어i5-10세대,코멧레이크,i5-10210U (1.6GHz),쿼드코어,운영체제(OS),미포함(프리도스),1920x1080(FHD),눈부심방지,DDR4,8GB,M.2(NVMe),256GB,기가비트 유선랜,802.11ac(Wi-Fi 5),HDMI,웹캠,USB Type-C,USB 3.0,USB 2.0,TPM,ㅗ형 방향키,숫자 키패드(3열),배터리,43Wh
22,레노버 아이디어패드 Slim3-15IIL 5D,"699,000",39.6cm(15.6인치),인텔,코어i5-10세대,아이스레이크,쿼드코어,운영체제(OS),미포함(프리도스),1920x1080(FHD),IPS,광시야각,눈부심방지,슬림형 베젤,DDR4,4GB,M.2(NVMe),256GB,802.11ac(Wi-Fi 5),HDMI,웹캠,USB 3.1,USB 2.0,ㅡ형 방향키,숫자 키패드(4열),두께,19.9mm,무게
23,MSI 브라보 17 A4DDR,"1,158,270",43.94cm(17.3인치),AMD,라이젠7-3세대,르누아르,4800H (2.9GHz),옥타코어,운영체제(OS),미포함(프리도스),1920x1080(FHD),250nit,144Hz,광시야각,눈부심방지,슬림형 베젤,DDR4,8GB,M.2(NVMe),512GB,VRAM:4GB,기가비트 유선랜,802.11ax(Wi-Fi 6),HDMI,웹캠(HD),USB Type-C,USB 3.0,키보드 라이트
24,ASUS ROG 제피러스 G14 GA401QM-HZ248,"1,599,000",35.56cm(14인치),AMD,라이젠9-4세대,세잔,5900HS (3.0GHz),옥타코어,운영체제(OS),미포함(프리도스),1920x1080(FHD),sRGB,100%,300nit,144Hz,눈부심방지,슬림형 베젤,DDR4,16GB,M.2(NVMe),512GB,VRAM:6GB,802.11ax(Wi-Fi 6),HDMI 2.0,USB 3.1 Type-C,USB 3.0,키보드 라이트,USB-PD
25,LG전자 2021 그램16 16ZD90P-GX5BK,"1,477,300",40.6cm(16인치),인텔,코어i5-11세대,타이거레이크,i5-1135G7 (2.4GHz),쿼드코어,운영체제(OS),미포함(프리도스),2560x1600(WQXGA),DCI-P3,99%,IPS,광시야각,슬림형 베젤,8GB,M.2(NVMe),256GB,802.11ax(Wi-Fi 6),HDMI,웹캠(HD),USB 3.1,UFS,키보드 라이트,MIL-STD,USB-PD,ㅗ형 방향키
26,ASUS TUF Dash F15 FX516PM-HN021,"1,249,000",39.62cm(15.6인치),인텔,코어i5-11세대,타이거레이크,쿼드코어,운영체제(OS),미포함(프리도스),1920x1080(FHD),250nit,144Hz,눈부심방지,슬림형 베젤,DDR4,8GB,M.2(NVMe),512GB,VRAM:6GB,기가비트 유선랜,802.11ax(Wi-Fi 6),HDMI 2.0,USB 3.0,키보드 라이트,MIL-STD,USB-PD,ㅗ형 방향키,배터리
27,레노버 플렉스5 14ARE R5 W10,"799,000",35.5cm(14인치),AMD,라이젠5-3세대,르누아르,4500U (2.3GHz),헥사코어,운영체제(OS),윈도우10,1920x1080(FHD),IPS,광시야각,슬림형 베젤,터치스크린,DDR4,8GB,M.2(NVMe),256GB,802.11ac(Wi-Fi 5),HDMI,웹캠(HD),USB Type-C,USB 3.0,키보드 라이트,지문 인식,고속충전,전용 펜 지원
28,ASUS ROG STRIX G513QM-HN064,"1,497,250",39.62cm(15.6인치),AMD,라이젠7-4세대,세잔,5800H (3.2GHz),옥타코어,운영체제(OS),미포함(프리도스),1920x1080(FHD),250nit,144Hz,눈부심방지,슬림형 베젤,DDR4,16GB,M.2(NVMe),512GB,VRAM:6GB,기가비트 유선랜,802.11ax(Wi-Fi 6),HDMI 2.0,USB Type-C,USB 3.0,RGB 라이트,USB-PD,ㅗ형 방향키
29,LG전자 2021 울트라PC 13U70P-GR56K,"1,052,750",33.78cm(13.3인치),AMD,라이젠5-3세대,르누아르,4500U (2.3GHz),헥사코어,운영체제(OS),윈도우10,1920x1080(FHD),IPS,광시야각,슬림형 베젤,DDR4,8GB,M.2(NVMe),256GB,802.11ax(Wi-Fi 6),HDMI,웹캠(HD),USB 3.1 Type-C,USB 3.1,키보드 라이트,USB-PD,ㅗ형 방향키,배터리,51Wh
30,ASUS 비보북 X413EA-EB086,"698,940",35.56cm(14인치),인텔,코어i5-11세대,타이거레이크,i5-1135G7 (2.4GHz),쿼드코어,운영체제(OS),미포함(프리도스),1920x1080(FHD),광시야각,슬림형 베젤,DDR4,8GB,M.2(NVMe),256GB,802.11ax(Wi-Fi 6),HDMI,웹캠(HD),USB Type-C,USB 3.0,USB 2.0,키보드 라이트,지문 인식,ㅗ형 방향키,배터리,42Wh
31,레노버 게이밍 3 15ARH R5 ZEN,"898,950",39.6cm(15.6인치),AMD,라이젠5-3세대,르누아르,4600H (3.0GHz),헥사코어,운영체제(OS),미포함(프리도스),1920x1080(FHD),120Hz,IPS,광시야각,눈부심방지,슬림형 베젤,DDR4,8GB,M.2(NVMe),256GB,GTX1650,VRAM:4GB,기가비트 유선랜,802.11ac(Wi-Fi 5),HDMI 2.0,웹캠(HD),USB Type-C,USB 3.0
32,삼성전자 갤럭시북 이온2 NT950XDA-X71AW,"1,999,000",39.6cm(15.6인치),인텔,코어i7-11세대,타이거레이크,i7-1165G7 (2.8GHz),쿼드코어,운영체제(OS),윈도우10,1920x1080(FHD),600nit,QLED,광시야각,슬림형 베젤,DDR4,16GB,M.2(NVMe),512GB,VRAM:2GB,802.11ax(Wi-Fi 6),HDMI,웹캠(HD),USB Type-C,USB 3.0,UFS,키보드 라이트,지문 인식
33,LG전자 2021 그램16 16ZD90P-GX50K,"1,517,040",40.6cm(16인치),인텔,코어i5-11세대,타이거레이크,i5-1135G7 (2.4GHz),쿼드코어,운영체제(OS),미포함(프리도스),2560x1600(WQXGA),DCI-P3,99%,IPS,광시야각,슬림형 베젤,8GB,M.2(NVMe),256GB,802.11ax(Wi-Fi 6),HDMI,웹캠(HD),USB 3.1,UFS,키보드 라이트,MIL-STD,USB-PD,ㅗ형 방향키
34,삼성전자 갤럭시북 이온2 NT950XDZ-G58AW,"1,529,000",39.6cm(15.6인치),인텔,코어i5-11세대,타이거레이크,i5-1135G7 (2.4GHz),쿼드코어,운영체제(OS),미포함(프리도스),1920x1080(FHD),600nit,QLED,광시야각,슬림형 베젤,DDR4,8GB,M.2(NVMe),256GB,802.11ax(Wi-Fi 6),HDMI,웹캠(HD),USB Type-C,USB 3.0,UFS,키보드 라이트,지문 인식,TPM
35,LG전자 2020 울트라PC 15U40N-GR36K,"841,620",39.6cm(15.6인치),AMD,라이젠3-3세대,르누아르,4300U (2.7GHz),쿼드코어,운영체제(OS),윈도우10,1920x1080(FHD),IPS,광시야각,슬림형 베젤,DDR4,8GB,M.2(NVMe),256GB,기가비트 유선랜,802.11ax(Wi-Fi 6),HDMI,웹캠(HD),USB 3.1 Type-C,USB 3.0,ㅗ형 방향키,숫자 키패드(3열),배터리,52Wh
36,LG전자 2020 울트라PC 15U40N-GR56K,"937,990",39.6cm(15.6인치),AMD,라이젠5-3세대,르누아르,4500U (2.3GHz),헥사코어,운영체제(OS),윈도우10,1920x1080(FHD),IPS,광시야각,슬림형 베젤,DDR4,8GB,M.2(NVMe),256GB,기가비트 유선랜,802.11ax(Wi-Fi 6),HDMI,웹캠(HD),USB 3.1 Type-C,USB 3.0,ㅗ형 방향키,숫자 키패드(3열),배터리,52Wh
37,ASUS TUF Gaming A17 FA706II-H7021,"1,990,000",43.94cm(17.3인치),AMD,라이젠5-3세대,르누아르,4600H (3.0GHz),헥사코어,운영체제(OS),미포함(프리도스),1920x1080(FHD),NTSC,45%,250nit,120Hz,눈부심방지,DDR4,8GB,M.2(NVMe),512GB,GTX1650 Ti,VRAM:4GB,기가비트 유선랜,802.11ac(Wi-Fi 5),HDMI 2.0,웹캠(HD),USB 3.1 Type-C,USB 3.0
38,삼성전자 노트북 플러스 NT550XCR-AD3A WIN10,"788,990",39.6cm(15.6인치),인텔,코어i3-10세대,코멧레이크,i3-10110U (2.1GHz),듀얼코어,운영체제(OS),윈도우10,1920x1080(FHD),광시야각,눈부심방지,슬림형 베젤,DDR4,4GB,M.2(NVMe),256GB,기가비트 유선랜,802.11ac(Wi-Fi 5),HDMI,웹캠,USB Type-C,USB 3.0,USB 2.0,TPM,ㅗ형 방향키,숫자 키패드(3열)
39,ASUS 비보북 M413UA-EB033,"699,000",35.56cm(14인치),AMD,라이젠5-4세대,루시엔,5500U (2.1GHz),헥사코어,운영체제(OS),미포함(프리도스),1920x1080(FHD),광시야각,슬림형 베젤,DDR4,8GB,M.2(NVMe),512GB,802.11ax(Wi-Fi 6),HDMI,웹캠(HD),USB Type-C,USB 3.0,USB 2.0,지문 인식,ㅗ형 방향키,배터리,42Wh,두께
40,ASUS ROG 제피러스 G14 GA401QM-K2195,"1,799,000",35.56cm(14인치),AMD,라이젠9-4세대,세잔,5900HS (3.0GHz),옥타코어,운영체제(OS),미포함(프리도스),2560x1440(QHD),DCI-P3,100%,300nit,120Hz,눈부심방지,슬림형 베젤,DDR4,16GB,M.2(NVMe),512GB,VRAM:6GB,802.11ax(Wi-Fi 6),HDMI 2.0,USB 3.1 Type-C,USB 3.0,키보드 라이트,USB-PD
41,한성컴퓨터 TFG5476HS,"1,499,000",39.62cm(15.6인치),AMD,라이젠7-3세대,르누아르,4800H (2.9GHz),옥타코어,운영체제(OS),미포함(프리도스),1920x1080(FHD),NTSC,72%,sRGB,100%,300nit,144Hz,광시야각,눈부심방지,슬림형 베젤,DDR4,16GB,M.2(NVMe),500GB,VRAM:6GB,기가비트 유선랜,802.11ax(Wi-Fi 6),HDMI 2.1
42,주연테크 슈퍼플라이 J9FT,"861,140",35.56cm(14인치),인텔,코어i5-11세대,타이거레이크,i5-1135G7 (2.4GHz),쿼드코어,운영체제(OS),미포함(프리도스),1920x1080(FHD),NTSC,72%,340nit,광시야각,슬림형 베젤,DDR4,16GB,M.2(NVMe),512GB,802.11ax(Wi-Fi 6),HDMI,웹캠(HD),USB 3.1,USB 3.0,키보드 라이트,MIL-STD,얼굴 인식
43,ASUS TUF Gaming A15 FA506QM-HN016,"1,399,000",39.62cm(15.6인치),AMD,라이젠7-4세대,세잔,5800H (3.2GHz),옥타코어,운영체제(OS),미포함(프리도스),1920x1080(FHD),250nit,144Hz,눈부심방지,DDR4,16GB,M.2(NVMe),512GB,VRAM:6GB,기가비트 유선랜,802.11ax(Wi-Fi 6),HDMI 2.0,웹캠(HD),USB 3.1 Type-C,USB 3.0,RGB 라이트,MIL-STD,ㅗ형 방향키
44,LG전자 2020 울트라PC 13UD50N-GX50K,"928,990",33.7cm(13인치),인텔,코어i5-10세대,코멧레이크,i5-10210U (1.6GHz),쿼드코어,운영체제(OS),미포함(프리도스),1920x1080(FHD),IPS,광시야각,DDR4,8GB,M.2(NVMe),256GB,802.11ax(Wi-Fi 6),HDMI,웹캠(HD),USB 3.1,ㅡ형 방향키,배터리,51Wh,두께,17.9mm,무게,1.3.kg
45,레노버 아이디어패드 Slim5-15ITL Premiere Plus i5,"1,859,070",39.6cm(15.6인치),인텔,코어i5-11세대,타이거레이크,i5-1135G7 (2.4GHz),쿼드코어,운영체제(OS),미포함(프리도스),1920x1080(FHD),300nit,IPS,광시야각,눈부심방지,슬림형 베젤,DDR4,16GB,M.2(NVMe),256GB,VRAM:2GB,802.11ax(Wi-Fi 6),HDMI,웹캠(HD),USB Type-C,USB 3.0,키보드 라이트,고속충전
46,LG전자 2021 그램17 17ZD90P-GX5BK,"1,498,490",43.1cm(17인치),인텔,코어i5-11세대,타이거레이크,i5-1135G7 (2.4GHz),쿼드코어,운영체제(OS),미포함(프리도스),2560x1600(WQXGA),DCI-P3,99%,IPS,광시야각,슬림형 베젤,8GB,M.2(NVMe),256GB,802.11ax(Wi-Fi 6),HDMI,웹캠(HD),USB 3.1,UFS,키보드 라이트,MIL-STD,USB-PD,ㅗ형 방향키
47,레노버 아이디어패드 L3-15IML 81Y3003CKR WIN10,"827,070",39.6cm(15.6인치),인텔,코어i5-10세대,코멧레이크,i5-10210U (1.6GHz),쿼드코어,운영체제(OS),윈도우10,1920x1080(FHD),250nit,IPS,광시야각,눈부심방지,슬림형 베젤,DDR4,4GB,M.2(NVMe),256GB,유선랜,802.11ac(Wi-Fi 5),HDMI,웹캠,USB Type-C,USB 3.0,고속충전,ㅡ형 방향키
48,삼성전자 노트북 플러스2 NT550XDA-XF59W,"1,034,100",39.6cm(15.6인치),인텔,코어i5-11세대,타이거레이크,i5-1135G7 (2.4GHz),쿼드코어,운영체제(OS),윈도우10,1920x1080(FHD),광시야각,눈부심방지,슬림형 베젤,DDR4,8GB,M.2(NVMe),256GB,VRAM:2GB,기가비트 유선랜,802.11ax(Wi-Fi 6),HDMI,웹캠,USB Type-C,USB 3.0,USB 2.0,TPM,ㅗ형 방향키
49,MSI 모던시리즈 모던14 B4MW-R7,일시품절,35.56cm(14인치),AMD,라이젠7-3세대,르누아르,4700U (2.0GHz),옥타코어,운영체제(OS),미포함(프리도스),1920x1080(FHD),250nit,광시야각,눈부심방지,슬림형 베젤,DDR4,8GB,M.2(NVMe),256GB,802.11ac(Wi-Fi 5),HDMI,웹캠(HD),USB Type-C,USB 2.0,키보드 라이트,MIL-STD,ㅗ형 방향키,배터리
50,ASUS ROG STRIX G513QM-HN031,일시품절,39.62cm(15.6인치),AMD,라이젠7-4세대,세잔,5800H (3.2GHz),옥타코어,운영체제(OS),미포함(프리도스),1920x1080(FHD),250nit,144Hz,눈부심방지,슬림형 베젤,DDR4,8GB,M.2(NVMe),512GB,VRAM:6GB,기가비트 유선랜,802.11ax(Wi-Fi 6),HDMI 2.0,USB Type-C,USB 3.0,RGB 라이트,USB-PD,ㅗ형 방향키
51,MSI 브라보 17 A4DDR 16GB램,"1,195,070",43.94cm(17.3인치),AMD,라이젠7-3세대,르누아르,4800H (2.9GHz),옥타코어,운영체제(OS),미포함(프리도스),1920x1080(FHD),250nit,120Hz,광시야각,눈부심방지,슬림형 베젤,DDR4,16GB,M.2(NVMe),256GB,VRAM:4GB,기가비트 유선랜,802.11ax(Wi-Fi 6),HDMI,웹캠(HD),USB Type-C,USB 3.0,키보드 라이트
52,주연테크 슈퍼플라이 J9ST,"956,920",35.56cm(14인치),인텔,코어i7-11세대,타이거레이크,i7-1165G7 (2.8GHz),쿼드코어,운영체제(OS),미포함(프리도스),1920x1080(FHD),NTSC,72%,340nit,광시야각,슬림형 베젤,DDR4,16GB,M.2(NVMe),512GB,802.11ax(Wi-Fi 6),HDMI,웹캠(HD),USB 3.1,USB 3.0,키보드 라이트,MIL-STD,얼굴 인식
53,레노버 V14 G2 82KC0011KR,"499,000",35.56cm(14인치),AMD,라이젠5-4세대,루시엔,5500U (2.1GHz),헥사코어,운영체제(OS),미포함(프리도스),1920x1080(FHD),NTSC,45%,250nit,TN,눈부심방지,슬림형 베젤,DDR4,4GB,M.2(NVMe),256GB,기가비트 유선랜,802.11ac(Wi-Fi 5),HDMI,웹캠(HD),USB Type-C,USB 3.0,USB 2.0
54,삼성전자 갤럭시북 이온2 NT950XDZ-A58AW,"1,399,000",39.6cm(15.6인치),인텔,코어i5-11세대,타이거레이크,i5-1135G7 (2.4GHz),쿼드코어,운영체제(OS),미포함(프리도스),1920x1080(FHD),600nit,QLED,광시야각,슬림형 베젤,DDR4,8GB,M.2(NVMe),256GB,802.11ax(Wi-Fi 6),HDMI,웹캠(HD),USB Type-C,USB 3.0,UFS,키보드 라이트,지문 인식,TPM
55,레노버 LEGION 5 15ARH R5 ZEN,"899,000",39.6cm(15.6인치),AMD,라이젠5-3세대,르누아르,4600H (3.0GHz),헥사코어,운영체제(OS),미포함(프리도스),1920x1080(FHD),250nit,120Hz,IPS,광시야각,눈부심방지,슬림형 베젤,DDR4,8GB,M.2(NVMe),256GB,GTX1650,VRAM:4GB,유선랜,802.11ax(Wi-Fi 6),HDMI 2.0,웹캠(HD),USB Type-C
56,ACER Swift3 SF314-43 R5 씬스틸러2 UP,"849,000",35.56cm(14인치),AMD,라이젠5-4세대,루시엔,5500U (2.1GHz),헥사코어,운영체제(OS),리눅스,1920x1080(FHD),NTSC,72%,300nit,IPS,광시야각,슬림형 베젤,16GB,M.2(NVMe),512GB,802.11ax(Wi-Fi 6),HDMI 2.0,웹캠(HD),USB 3.1 Type-C,USB 3.0,키보드 라이트,지문 인식,고속충전
57,MSI 크리에이터 17M A10SE-i7,"1,568,990",43.94cm(17.3인치),인텔,코어i7-10세대,코멧레이크,i7-10750H (2.6GHz),헥사코어,운영체제(OS),미포함(프리도스),1920x1080(FHD),300nit,144Hz,광시야각,눈부심방지,슬림형 베젤,DDR4,16GB,M.2(NVMe),512GB,RTX2060,VRAM:6GB,기가비트 유선랜,802.11ax(Wi-Fi 6),HDMI,웹캠(HD),USB Type-C,USB 3.0
58,삼성전자 노트북 플러스 NT550XCR-AD3A,"612,000",39.6cm(15.6인치),인텔,코어i3-10세대,코멧레이크,i3-10110U (2.1GHz),듀얼코어,운영체제(OS),미포함(프리도스),1920x1080(FHD),광시야각,눈부심방지,슬림형 베젤,DDR4,4GB,M.2(NVMe),256GB,기가비트 유선랜,802.11ac(Wi-Fi 5),HDMI,웹캠,USB Type-C,USB 3.0,USB 2.0,TPM,ㅗ형 방향키,숫자 키패드(3열)
59,APPLE 2020 맥북에어 MGN73KH/A,"1,467,360",33.78cm(13.3인치),옥타코어,운영체제(OS),2560x1600(WQXGA),DCI-P3,지원,400nit,IPS,트루톤,8GB,SSD,512GB,802.11ax(Wi-Fi 6),웹캠(HD),썬더볼트3,2개,USB 3.1 Type-C,지문 인식,USB-PD,ㅗ형 방향키,배터리,49.9Wh,두께,16.1mm,무게,1.29kg
60,삼성전자 노트북 플러스2 NT560XDZ-G78A,"1,598,990",39.6cm(15.6인치),인텔,코어i7-11세대,타이거레이크,i7-1165G7 (2.8GHz),쿼드코어,운영체제(OS),미포함(프리도스),1920x1080(FHD),광시야각,눈부심방지,슬림형 베젤,DDR4,8GB,M.2(NVMe),256GB,GTX1650 Ti,MAX-Q,VRAM:4GB,기가비트 유선랜,802.11ac(Wi-Fi 5),HDMI,웹캠,USB Type-C,USB 3.0,USB 2.0
